method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+-n,5,0.794213,0.337078
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2-n,5,0.732228,0.235026
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2+n,5,0.972998,0.823957
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,mRMR,2n,5,0.783604,0.315504
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,adaboost,2n,5,0.795128,0.333470
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2+n,5,0.799725,0.345929
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.789073,0.333950
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2-n,5,0.729126,0.233729
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.776510,0.305359
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.791175,0.328019
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.763484,0.268813
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.795751,0.333292
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.790546,0.334056
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.767333,0.277825
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,mRMR,2n,5,0.972725,0.801732
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,adaboost,2n,5,0.972624,0.811257
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2+n,5,0.975875,0.827126
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.973110,0.810936
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2-n,5,0.904043,0.587829
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.965324,0.775374
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.973041,0.811375
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.944527,0.699679
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.973094,0.812541
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.974335,0.812144
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.945937,0.694367
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2+-n,5,0.971922,0.804869
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2-n,5,0.899235,0.577397
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,mRMR,2n,5,0.794924,0.318949
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,adaboost,2n,5,0.800854,0.310248
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2+n,5,0.802302,0.327753
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.791834,0.305738
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2-n,5,0.747463,0.241768
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.795957,0.322965
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.794925,0.306581
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.774989,0.254019
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.798705,0.318919
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.798597,0.310165
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.786860,0.270070
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2+n,5,0.804590,0.320728
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2+-n,5,0.804384,0.316752
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2-n,5,0.753970,0.239102
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,mRMR,2n,5,0.866383,0.468690
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,adaboost,2n,5,0.864014,0.457684
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,tTest,2+n,5,0.882753,0.497240
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,tTest,2+-n,5,0.876197,0.504424
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,tTest,2-n,5,0.782151,0.310730
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,infoGain,2+n,5,0.855247,0.441366
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,infoGain,2+-n,5,0.869455,0.469842
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,infoGain,2-n,5,0.816267,0.344615
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,Fisher,2+n,5,0.879454,0.502265
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,Fisher,2+-n,5,0.873962,0.489718
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,Fisher,2-n,5,0.816778,0.353232
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,svm,2+n,5,0.870276,0.469789
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,svm,2+-n,5,0.873616,0.484501
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,svm,2-n,5,0.774814,0.276954
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,mRMR,2n,5,0.788951,0.306950
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,adaboost,2n,5,0.784811,0.292008
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,tTest,2+n,5,0.798535,0.320382
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.780200,0.305653
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,tTest,2-n,5,0.738077,0.235828
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.776359,0.292481
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.779886,0.294422
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.759770,0.243232
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.777465,0.307108
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.784332,0.303612
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.773913,0.263450
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,svm,2+n,5,0.791792,0.317580
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,svm,2+-n,5,0.791212,0.305178
enhancer_combined_svm,10_H3K4me2_prolCell_pos,10_H3K4me2_prolCell_nullx10,100,6,100,svm,2-n,5,0.729101,0.216444
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,mRMR,2n,5,0.835994,0.377631
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,adaboost,2n,5,0.836798,0.381068
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2+n,5,0.844783,0.396748
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.835283,0.374143
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2-n,5,0.788729,0.310280
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2+n,5,0.827955,0.365640
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2+-n,5,0.836749,0.375412
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2-n,5,0.814856,0.347583
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2+n,5,0.832072,0.381489
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2+-n,5,0.839685,0.387186
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2-n,5,0.819085,0.343153
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2+n,5,0.839452,0.390254
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2+-n,5,0.841611,0.400209
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2-n,5,0.774836,0.289858
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,mRMR,2n,5,0.536568,0.106248
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,adaboost,2n,5,0.534985,0.108263
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2+n,5,0.557674,0.124451
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.541649,0.117806
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2-n,5,0.519748,0.104187
